SSN;name;phonenumber;date;gender
817654790;Papadopoulou;6976202717;22/08/1990;F
801309744;Mitropoulos;6992800249;30/01/1978;M
807344366;Kardara;6992888276;21/05/1968;F
800725683;Paluca;6926344898;04/10/1994;F
873529057;Politi;6926958027;27/12/1978;F
139576264;Diakou;6922523633;30/08/1964;F
106983756;Lemoni;6943710545;01/08/1955;F
165626790;Papanastasiou;6987686117;19/08/1957;M
802956921;Kondylis;6911700322;06/04/1965;M
805612509;Prosmitrelis;6984865389;20/03/1988;M
801924673;Antoniou;6990673412;06/07/1953;F
809578928;Karderemidis;6955824252;25/09/1996;M
800928475;Diamantidis;6950723981;10/02/1951;M
825670123;Papaloukas;6908646863;04/05/1962;M
994958674;Skorda;6949834353;06/11/1982;F
800294876;Grammenos;6912210665;06/09/1977;M
800928456;Antonopoulou;6903896858;20/04/1978;F
133756874;Zagorakis;6970967731;22/01/1950;M
999124567;Basinas;6901701378;19/07/1982;M
809359375;Kontogoni;6936893552;02/10/1955;F
